dniCliente,fechaCreacion,orden,codigoEjercicio,cantidadSeries,cantidadRepeticiones,descansoSegundos,observaciones
32427849,2026-03-31,1,20,3,8,45,
32427849,2026-03-31,2,14,5,8,120,Controlar la velocidad de ejecución.
32427849,2026-03-31,3,39,5,14,45,
32427849,2026-03-31,4,5,3,11,60,Controlar la velocidad de ejecución.
32427849,2026-03-31,5,18,5,14,90,
32427849,2026-03-31,6,37,4,9,30,Reducir el peso si pierde la técnica.
32427849,2026-03-31,7,3,4,8,60,Aumentar el peso si completa todas las series.
32427849,2026-03-31,8,16,5,14,30,
32427849,2026-03-31,9,8,5,8,45,Aumentar el peso si completa todas las series.
34261773,2026-02-17,1,29,5,11,90,Mantener la técnica durante todo el ejercicio.
34261773,2026-02-17,2,41,3,8,120,Reducir el peso si pierde la técnica.
34261773,2026-02-17,3,44,4,11,60,Reducir el peso si pierde la técnica.
34261773,2026-02-17,4,11,5,11,30,Reducir el peso si pierde la técnica.
34261773,2026-02-17,5,17,5,12,90,Controlar la velocidad de ejecución.
34261773,2026-02-17,6,51,5,8,120,Mantener la técnica durante todo el ejercicio.
34261773,2026-02-17,7,5,4,11,45,Controlar la velocidad de ejecución.
34261773,2026-02-17,8,10,5,14,30,Mantener la técnica durante todo el ejercicio.
34261773,2026-02-17,9,2,3,14,30,Reducir el peso si pierde la técnica.
34261773,2026-02-17,10,37,5,9,60,
34261773,2026-03-29,1,15,5,12,45,Realizar el movimiento completo.
34261773,2026-03-29,2,13,5,11,90,Aumentar el peso si completa todas las series.
34261773,2026-03-29,3,27,4,13,120,Realizar el movimiento completo.
34261773,2026-03-29,4,6,5,10,120,
34261773,2026-03-29,5,48,3,14,45,
34261773,2026-03-29,6,54,5,11,60,Reducir el peso si pierde la técnica.
34261773,2026-07-13,1,54,4,12,120,Controlar la velocidad de ejecución.
34261773,2026-07-13,2,35,5,13,60,Mantener la técnica durante todo el ejercicio.
34261773,2026-07-13,3,28,3,13,45,Aumentar el peso si completa todas las series.
