dniSocio,fechaInicio,fechaFin,idTipoMembresia,idMedioPago
32427849,2026-03-17,2026-04-17,1,3
32427849,2026-04-17,2026-05-17,1,3
32427849,2026-05-17,2026-06-17,1,2
32427849,2026-06-17,2026-07-17,1,3
32427849,2026-07-17,2026-08-17,1,2
34261773,2026-02-15,2026-03-15,1,2
34261773,2026-03-15,2026-04-15,1,1
34261773,2026-04-15,2026-05-15,1,2
34261773,2026-05-15,2026-06-15,1,3
34261773,2026-06-15,2026-07-15,1,4
34261773,2026-07-15,2026-08-15,1,2
43809676,2026-04-01,2026-05-01,1,2
43809676,2026-05-01,2026-06-01,1,2
43809676,2026-06-01,2026-07-01,1,2
43809676,2026-07-01,2026-08-01,1,4
39885241,2026-06-05,2026-07-05,3,2
39885241,2026-07-05,2026-08-05,3,2
39885241,2026-08-05,2026-09-05,3,3
30319953,2026-02-20,2026-03-20,1,3
30319953,2026-03-20,2026-04-20,1,2
46767275,2026-01-25,2026-02-25,1,3
46767275,2026-02-25,2026-03-25,1,2
46767275,2026-03-25,2026-04-25,1,3
46767275,2026-04-25,2026-05-25,1,2
46767275,2026-05-25,2026-06-25,1,4
46767275,2026-06-25,2026-07-25,1,3
46767275,2026-07-25,2026-08-25,1,3
32683340,2026-02-09,2026-03-09,1,1
32683340,2026-03-09,2026-04-09,1,2
32683340,2026-04-09,2026-05-09,1,2
32683340,2026-05-09,2026-06-09,1,2
32683340,2026-06-09,2026-07-09,1,3
43700798,2026-02-08,2026-03-08,1,4
43700798,2026-03-08,2026-04-08,1,2
43700798,2026-04-08,2026-05-08,1,2
43700798,2026-05-08,2026-06-08,1,1
43700798,2026-06-08,2026-07-08,1,3
43700798,2026-07-08,2026-08-08,1,4
47386139,2025-12-03,2026-01-03,3,3
47386139,2026-01-03,2026-02-03,3,2
47386139,2026-02-03,2026-03-03,3,3
47386139,2026-03-03,2026-04-03,3,2
47386139,2026-04-03,2026-05-03,3,3
47386139,2026-05-03,2026-06-03,3,1
47386139,2026-06-03,2026-07-03,3,3
47386139,2026-07-03,2026-08-03,3,3
34207866,2026-03-04,2026-04-04,1,3
34207866,2026-04-04,2026-05-04,1,3
34207866,2026-05-04,2026-06-04,1,2
32138648,2026-02-02,2026-03-02,2,2
32138648,2026-03-02,2026-04-02,2,2
32138648,2026-04-02,2026-05-02,2,2
32138648,2026-05-02,2026-06-02,2,4
32138648,2026-06-02,2026-07-02,2,3
32138648,2026-07-02,2026-08-02,2,3
32138648,2026-08-02,2026-09-02,2,2
