dniSocio,fechaInicio,importeRecibido,vuelto
34261773,2026-03-15,50000.0,0.0
32683340,2026-02-09,50000.0,0.0
43700798,2026-05-08,70000.0,20000.0
47386139,2026-05-03,40000.0,5000.0
44962483,2025-12-19,35000.0,0.0
33188844,2026-08-04,60000.0,10000.0
31060603,2026-01-05,70000.0,20000.0
31060603,2026-05-05,70000.0,20000.0
30601612,2026-04-03,60000.0,10000.0
35745471,2026-05-07,50000.0,10000.0
31886111,2026-02-10,50000.0,10000.0
43797588,2025-11-04,50000.0,0.0
33533977,2026-04-20,50000.0,0.0
44220085,2026-02-05,40000.0,5000.0
40089551,2026-01-15,40000.0,0.0
39005282,2026-02-10,50000.0,0.0
46988479,2026-04-03,50000.0,0.0
46988479,2026-05-03,50000.0,0.0
46988479,2026-08-03,50000.0,0.0
30498521,2026-01-12,60000.0,25000.0
47954493,2026-07-10,60000.0,25000.0
44883900,2026-05-08,40000.0,0.0
34856327,2026-01-16,50000.0,0.0
34856327,2026-04-16,50000.0,0.0
47245217,2026-04-08,50000.0,0.0
32584391,2026-02-14,50000.0,0.0
47148890,2026-08-04,40000.0,0.0
38124201,2026-05-10,60000.0,10000.0
42998600,2026-04-30,50000.0,0.0
45177812,2026-03-20,60000.0,10000.0
46154567,2026-04-03,40000.0,5000.0
48317455,2026-03-18,50000.0,0.0
48317455,2026-04-18,50000.0,0.0
31832850,2026-03-12,60000.0,25000.0
33259339,2026-07-20,50000.0,10000.0
41747096,2026-01-08,50000.0,0.0
35453371,2026-01-20,60000.0,10000.0
35453371,2026-02-20,50000.0,0.0
45671152,2026-02-06,40000.0,0.0
39442872,2025-11-06,50000.0,0.0
43790433,2026-07-06,50000.0,0.0
38693174,2026-08-01,60000.0,10000.0
46529533,2026-07-07,50000.0,0.0
48184474,2026-02-16,70000.0,20000.0
32080077,2026-04-09,50000.0,0.0
45386259,2026-06-06,60000.0,20000.0
45386259,2026-07-06,40000.0,0.0
38945107,2026-06-24,50000.0,0.0
48433018,2026-04-19,50000.0,0.0
37738658,2026-07-03,60000.0,10000.0
47874930,2026-07-01,50000.0,0.0
38843621,2026-06-12,70000.0,20000.0
34646179,2026-03-05,50000.0,0.0
45448675,2026-06-03,60000.0,25000.0
45448675,2026-07-03,40000.0,5000.0
46857212,2026-06-13,35000.0,0.0
30421801,2026-08-07,35000.0,0.0
32369639,2026-07-15,50000.0,0.0
41944063,2026-06-06,50000.0,0.0
31816984,2026-04-08,50000.0,0.0
31816984,2026-06-08,60000.0,10000.0
40632892,2026-03-17,60000.0,20000.0
40632892,2026-05-17,40000.0,0.0
32502939,2026-04-01,60000.0,10000.0
32502939,2026-06-01,50000.0,0.0
31542715,2026-04-06,50000.0,0.0
47675123,2026-01-22,50000.0,0.0
40797196,2026-05-14,50000.0,0.0
33391208,2026-04-13,50000.0,0.0
43868067,2026-04-16,50000.0,10000.0
38632323,2026-03-28,40000.0,0.0
38632323,2026-07-28,60000.0,20000.0
40205064,2026-06-10,50000.0,0.0
40990404,2025-10-06,50000.0,0.0
38975732,2026-08-07,50000.0,0.0
38105411,2026-05-06,50000.0,0.0
38803223,2026-05-01,60000.0,10000.0
34484403,2026-05-13,50000.0,0.0
34484403,2026-06-13,50000.0,0.0
35669779,2026-05-18,60000.0,10000.0
36414253,2026-07-09,50000.0,15000.0
48654338,2026-04-19,60000.0,10000.0
30363127,2026-05-08,50000.0,10000.0
31263795,2026-07-02,35000.0,0.0
37612601,2026-03-18,50000.0,10000.0
45869359,2026-02-20,70000.0,20000.0
38863870,2026-05-13,60000.0,10000.0
39732551,2026-06-19,50000.0,0.0
38640882,2026-04-04,50000.0,0.0
