dniCliente,fechaCreacion,legajo,idObjetivo,observaciones
32427849,2026-03-31,5,1,Realizar movilidad antes de entrenar.
34261773,2026-02-17,14,1,Controlar la intensidad.
34261773,2026-03-29,5,1,Controlar la intensidad.
34261773,2026-07-13,2,4,
34261773,2026-07-20,5,5,Controlar la intensidad.
43809676,2026-04-11,14,3,
39885241,2026-06-08,5,1,Realizar movilidad antes de entrenar.
30319953,2026-07-26,1,2,Realizar movilidad antes de entrenar.
46767275,2026-07-29,1,1,Realizar movilidad antes de entrenar.
46767275,2026-08-06,13,1,Realizar movilidad antes de entrenar.
46767275,2026-07-25,1,1,Respetar tiempos de descanso.
46767275,2026-07-28,2,2,Realizar movilidad antes de entrenar.
32683340,2026-08-02,13,1,Controlar la intensidad.
32683340,2026-07-08,2,3,
43700798,2026-07-19,2,1,
43700798,2026-04-16,10,4,Priorizar técnica.
43700798,2026-07-28,1,1,Realizar movilidad antes de entrenar.
47386139,2025-12-06,14,1,
47386139,2026-08-06,13,5,
34207866,2026-07-18,1,1,Aumentar carga progresivamente.
32138648,2026-02-15,10,1,Respetar tiempos de descanso.
44962483,2026-07-12,2,4,Aumentar carga progresivamente.
31083433,2025-12-17,10,3,Priorizar técnica.
31083433,2026-01-07,9,3,Aumentar carga progresivamente.
40058520,2026-01-14,10,3,Realizar movilidad antes de entrenar.
30605668,2026-01-09,10,1,
33188844,2026-07-21,1,1,
33188844,2026-08-06,1,4,Aumentar carga progresivamente.
31060603,2026-07-31,1,1,
31060603,2026-08-05,13,1,
31060603,2026-08-07,13,2,
30601612,2026-07-22,1,2,
30601612,2026-05-05,5,3,Controlar la intensidad.
35745471,2026-07-31,13,2,
35745471,2026-07-24,1,4,Respetar tiempos de descanso.
42937942,2026-01-30,14,2,Respetar tiempos de descanso.
38351164,2026-04-11,10,1,
31670474,2026-08-01,13,4,Aumentar carga progresivamente.
43013693,2026-07-16,2,1,Priorizar técnica.
43013693,2026-03-19,14,1,
43013693,2026-07-30,1,3,Aumentar carga progresivamente.
43013693,2026-08-07,13,2,Aumentar carga progresivamente.
31886111,2025-11-25,14,1,Respetar tiempos de descanso.
31886111,2026-02-16,14,3,Respetar tiempos de descanso.
42250525,2026-08-03,13,3,
42250525,2026-07-25,1,1,Priorizar técnica.
42044402,2026-07-09,2,3,
42483063,2026-01-18,10,2,Priorizar técnica.
42483063,2026-03-12,9,3,Priorizar técnica.
35563244,2026-03-03,10,3,Priorizar técnica.
35563244,2026-04-08,14,4,Aumentar carga progresivamente.
35563244,2026-07-27,1,4,Realizar movilidad antes de entrenar.
35505962,2026-07-30,1,2,
43797588,2025-11-25,14,4,Realizar movilidad antes de entrenar.
39780814,2025-11-29,14,2,
39780814,2026-01-03,9,2,
33220726,2026-07-10,2,2,Priorizar técnica.
33533977,2026-02-22,14,1,
33533977,2026-07-05,2,1,Controlar la intensidad.
44220085,2026-07-22,1,3,Realizar movilidad antes de entrenar.
44220085,2026-02-11,10,1,
44220085,2026-07-21,1,5,
44220085,2026-08-06,1,3,
40089551,2026-08-02,13,5,
40089551,2026-03-22,5,4,Controlar la intensidad.
40089551,2026-06-25,14,3,Aumentar carga progresivamente.
35579881,2026-01-25,14,1,Aumentar carga progresivamente.
44674576,2026-07-24,1,5,Aumentar carga progresivamente.
44674576,2026-07-13,2,4,Aumentar carga progresivamente.
39005282,2026-07-10,2,1,Aumentar carga progresivamente.
39005282,2026-03-23,10,1,Controlar la intensidad.
39005282,2026-07-30,1,3,Aumentar carga progresivamente.
47775011,2026-08-02,13,2,Priorizar técnica.
47775011,2026-08-01,13,1,
47775011,2026-05-15,5,1,Realizar movilidad antes de entrenar.
47775011,2026-07-14,14,3,Priorizar técnica.
30008181,2026-01-24,5,3,Controlar la intensidad.
46988479,2026-04-03,9,1,
46988479,2026-07-27,13,1,
41472576,2026-02-16,9,3,
39143728,2025-11-29,14,1,Priorizar técnica.
39143728,2025-12-10,10,2,
39143728,2026-01-04,9,4,Aumentar carga progresivamente.
39143728,2026-02-14,10,3,Respetar tiempos de descanso.
39143728,2026-03-29,5,3,Respetar tiempos de descanso.
39143728,2026-05-04,9,2,Respetar tiempos de descanso.
39143728,2026-07-14,2,2,
30498521,2026-01-22,10,5,Aumentar carga progresivamente.
30498521,2026-07-18,1,2,
30498521,2026-04-16,10,1,
30498521,2026-07-15,14,4,Aumentar carga progresivamente.
37894239,2026-07-30,1,3,Priorizar técnica.
37894239,2026-07-27,13,1,
43412266,2026-05-06,10,2,
47954493,2026-01-10,5,3,Aumentar carga progresivamente.
47954493,2026-07-26,1,2,Controlar la intensidad.
47954493,2026-07-19,1,2,Aumentar carga progresivamente.
47954493,2026-07-25,5,3,
43323619,2026-07-12,2,2,
44883900,2026-01-20,14,1,Controlar la intensidad.
44883900,2026-07-23,14,1,Realizar movilidad antes de entrenar.
48996750,2026-01-17,9,2,Aumentar carga progresivamente.
34856327,2026-01-31,14,3,Respetar tiempos de descanso.
34856327,2026-04-25,14,3,Priorizar técnica.
34856327,2026-07-30,13,3,Controlar la intensidad.
34856327,2026-07-16,2,1,Controlar la intensidad.
34856327,2026-07-18,1,3,Realizar movilidad antes de entrenar.
39013537,2026-02-21,10,2,Controlar la intensidad.
31841068,2026-07-16,2,2,Realizar movilidad antes de entrenar.
33199156,2026-07-16,2,1,
47245217,2026-07-16,1,1,Respetar tiempos de descanso.
47245217,2026-06-22,5,3,
47245217,2026-07-12,14,1,Realizar movilidad antes de entrenar.
40000902,2026-07-31,1,1,
