dni,nombre,apellido,fechaNacimiento,telefono,correoElectronico,direccionDomicilio,numeroDomicilio,pisoDomicilio,codigoPostalDomicilio,fechaAlta
32427849,Nahiara,Benitez,1964-02-16,1132890037,nahiara.benitez823@hotmail.com,Las Magnolias,1558,,1700,2026-03-17
34261773,Benjamin,Bustos,2008-02-17,1178238225,benjamin.bustos820@gmail.com,Los Aromos,4299,,1700,2026-02-15
43809676,Luisana,Nuñez,1974-08-23,1148700866,luisana.nuñez237@hotmail.com,Los Ombúes,4341,1,1700,2026-04-01
39885241,Felicitas,Rodriguez,2001-05-16,1145345999,felicitas.rodriguez428@hotmail.com,Los Tamariscos,4113,,1700,2026-06-05
30319953,Camilo,Martinez,1961-09-22,1153764634,camilo.martinez935@hotmail.com,Los Arrayanes,2653,,1700,2026-02-20
46767275,Martina,Caceres,1969-05-30,1168351379,martina.caceres635@outlook.com,Los Robles,366,,1700,2026-01-25
32683340,Lautaro,Rios,1979-01-17,1186484290,lautaro.rios541@outlook.com,Los Lapachos,870,,1700,2026-02-09
43700798,Mora,Fernandez,1967-05-21,1164472375,mora.fernandez569@gmail.com,Los Jacarandás,411,,1700,2026-02-08
47386139,Joaquin,Gomez,1956-09-23,1179486283,joaquin.gomez406@gmail.com,Los Cedros,4339,,1700,2025-12-03
34207866,Benjamin,Suarez,1998-09-20,1196474097,benjamin.suarez985@outlook.com,Los Aromos,2704,,1700,2026-03-04
32138648,Lucía ,Rodriguez,1967-10-14,1111410802,lucía.rodriguez38@outlook.com,Los Abedules,4047,2,1700,2026-02-02
44962483,Juan Pablo,Medina,1987-10-28,1115569491,juanpablo.medina515@outlook.com,Los Eucaliptos,1871,11,1700,2025-12-19
31083433,Juan Martin,Rodriguez,1994-11-11,1156000382,juanmartin.rodriguez90@hotmail.com,Los Castaños,3377,,1700,2025-12-04
40058520,Clara,Perez,2014-07-27,1149943923,clara.perez634@outlook.com,Las Azaleas,2097,,1700,2026-01-03
30605668,Lautaro Benjamin,Moreno,2007-04-23,1120563654,lautarobenjamin.moreno664@outlook.com,Los Espinillos,3632,,1700,2026-01-02
33188844,Jazmin,Sosa,2012-12-23,1158093379,jazmin.sosa99@hotmail.com,Las Tipas,2989,,1700,2026-07-04
31060603,Valentina,Maidana,1991-10-06,1176268588,valentina.maidana516@gmail.com,Los Ceibos,2281,,1700,2026-01-05
30601612,Facundo,Pereyra,2003-05-07,1182707376,facundo.pereyra640@hotmail.com,Los Nogales,3666,,1700,2026-01-03
35745471,Benjamin,Gimenez,1992-09-14,1128743770,benjamin.gimenez513@yahoo.com.ar,Los Tamariscos,1978,,1700,2026-02-07
42937942,Benjamin,Fernandez,2004-04-02,1129181113,benjamin.fernandez135@outlook.com,Los Espinillos,3999,,1700,2026-01-19
38351164,Agustin,Alvarez,2005-10-08,1194909843,agustin.alvarez60@yahoo.com.ar,Los Jacarandás,2239,,1700,2026-04-06
